"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","909997","29.841999999999999","75.849000000000004","3","43","148033","03160603608","SHRI GURU KALGIDHAR PUBLIC SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","03","053","00274","Moonak","274","039930","PUNJAB","Sangrur","Balran (82)","Pvt. Unaided (Recognized)","Rural","03","110462","-45570"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911087","29.874140000000001","75.848687999999996","3","43","148033","03160601107","GURU NANAK ACEDAMY LEHAL KALAN","5","2","3","1","Primary with Upper Primary","Co-education","03","053","00273","Lehra","273","039902","PUNJAB","Sangrur","Lehal Kalan (75)","Pvt. Unaided (Recognized)","Rural","03","110462","-45624"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911332","29.880935999999998","75.849258000000006","3","43","148033","03160601102","GSSS LEHAL KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","053","00273","Lehra","273","039902","PUNJAB","Sangrur","Lehal Kalan (75)","Department of Education","Rural","03","110463","-45635"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912692","29.922283","75.832136000000006","3","43","148031","03160605001","GPS LEHAL KHURD","1","1","3","1","Primary","Co-education","03","053","00273","Lehra","273","039903","PUNJAB","Sangrur","Lehal Khurd (74)","Department of Education","Rural","03","110438","-45705"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920045","30.134592000000001","75.832308999999995","3","43","148030","03161213201","GPS GOBINDPURA","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Rural","03","110438","-46062"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911831","29.896740999999999","75.804004000000006","3","43","148031","03160605901","GPS RAMPURA JAWAHARWALA","1","1","3","1","Primary","Co-education","03","053","00273","Lehra","273","039891","PUNJAB","Sangrur","Rampura Jawarwala (73)","Department of Education","Rural","03","110397","-45662"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911798","29.895606000000001","75.803466999999998","3","43","148031","03160602201","GPS GOBINDPURA JAWAHARWALA","1","1","3","1","Primary","Co-education","03","053","00273","Lehra","273","039892","PUNJAB","Sangrur","Gobindpura Jawarwala (72)","Department of Education","Rural","03","110396","-45660"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911861","29.897357","75.803657999999999","3","43","148031","03160605902","GHS RAMPURA JAWAHAR WALA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","053","00273","Lehra","273","039891","PUNJAB","Sangrur","Rampura Jawarwala (73)","Department of Education","Rural","03","110396","-45663"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919776","30.127061999999999","75.803320999999997","3","43","148028","03161205802","GPS SUNAM GIRLS","1","1","3","2","Primary","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Urban","03","110396","-46049"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919931","30.131308000000001","75.803809000000001","3","43","148028","03161205701","Bhagwan Valmiki GPS Sunam","1","1","3","2","Primary","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Urban","03","110396","-46056"
